 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 05/04/2009   17:02:29
 ---------------------------------------------------------------------------------------------------------------------------------- 

17:02:29  |  General  |  Info  |  * Initialise: Gui  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_gui.cpp  |  54
17:02:29  |  General  |  Info  |  * MyGUI version 2.2.2  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_gui.cpp  |  58
17:02:29  |  General  |  Info  |  Viewport : 800 600  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_gui.cpp  |  68
17:02:29  |  General  |  Info  |  * Initialise: ResourceManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  41
17:02:29  |  General  |  Info  |  ResourceManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_resourcemanager.cpp  |  53
17:02:29  |  General  |  Info  |  * Initialise: LayerManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  41
17:02:29  |  General  |  Info  |  LayerManager successfully initialized  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_layermanager.cpp  |  73
17:02:29  |  General  |  Info  |  * Initialise: WidgetManager  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  62
17:02:29  |  General  |  Info  |  * Register widget factory 'Widget'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'Button'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'Window'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'List'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'HScroll'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'VScroll'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'Edit'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'ComboBox'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'StaticText'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'Tab'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'TabItem'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'TabItem'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'Sheet'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'Progress'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'ItemBox'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'MultiList'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'StaticImage'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'Message'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'RenderBox'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
17:02:29  |  General  |  Info  |  * Register widget factory 'MenuCtrl'  |  c:\documents and settings\administrator\desktop\mygui2.2.2_source\mygui2.2.2_source\myguiengine\src\mygui_widgetmanager.cpp  |  118
